section,quantity,printed,to_print,part_id,part,type,file,supports,footprint_estimated,print_estimated,fastener_count_unknown,already_in_the_wall,color,grams_each,metres_each,grams_total,metres_total
printed,6,0,6,wall-honeycomb-part,wall-honeycomb-part,panel,models/wall-honeycomb-part.stl,no,no,no,no,0,,49.1,16.45,294.4,98.72
printed,1,0,1,wranch-hoks-1,wranch-hoks-1,accessory,models/Hooks and holders/wranch-hoks-1.stl,no,yes,no,no,0,,20.5,6.87,20.5,6.87
printed,1,0,1,wranch-hoks-2,wranch-hoks-2,accessory,models/Hooks and holders/wranch-hoks-2.stl,no,yes,no,no,0,,22.1,7.42,22.1,7.42
fastener,29,0,29,insert-countersunk,Insert-countersunk,fastener,models/Parts for attaching honeycombs to the wall/Insert-countersunk.stl,yes,no,no,no,0,,2.3,0.77,66.4,22.29
fastener,1,0,1,double-m4,double M4,insert,models/Fasteners and parts for attaching hooks and objects/double M4.stl,yes,no,no,no,0,,4.7,1.58,4.7,1.58
fastener,3,0,3,insert-m4,insert M4,insert,models/Fasteners and parts for attaching hooks and objects/insert M4.stl,yes,no,no,no,0,,2.4,0.79,7.1,2.36
fastener,42,0,42,insert-empty,insert-empty,insert,models/Fasteners and parts for attaching hooks and objects/insert-empty.stl,yes,no,no,no,0,,2,0.65,81.9,27.44
fastener,44,0,44,insert-for-countersunk-hole-3,insert-for-countersunk-hole-3,fastener,models/Parts for attaching honeycombs to the wall/insert-for-countersunk-hole-3.stl,yes,no,no,no,0,,8.4,2.81,368.3,123.47
fastener,3,0,3,insert-with-m3,insert-with-M3,insert,models/Fasteners and parts for attaching hooks and objects/insert-with-M3.stl,yes,no,no,no,0,,2.3,0.79,7,2.36
shopping,3,,,,"M3 bolt, 10-16 mm",bought,,,,,,,,,,,
shopping,3,,,,M3 nut,bought,,,,,,,,,,,
shopping,5,,,,"M4 bolt, 10-16 mm",bought,,,,,,,,,,,
shopping,5,,,,M4 nut,bought,,,,,,,,,,,
shopping,73,,,,"Wall plug, 6 mm",bought,,,,,,,,,,,
shopping,73,,,,"Wall screw, 3.5 x 35 mm countersunk",bought,,,,,,,,,,,
